FID,roof,road,watr,conc,Veg,dry,irr,H,W
170,0.573846154,0,0,0.015384615,0.204615385,0.204615385,0.001538462,2.639692308,12.78461538
171,0.5488,0,0,0.0048,0.2896,0.1536,0.0032,2.52448,13.536
172,0.416,0,0,0.224,0.2352,0.1184,0.0064,1.9136,17.52
173,0.3856,0,0,0.1664,0.4,0.048,0,1.77376,18.432
174,0.561538462,0,0,0.018461538,0.098461538,0.316923077,0.004615385,2.583076923,13.15384615
175,0.2368,0,0,0.3936,0.1632,0.2064,0,1.08928,22.896
176,0.5184,0,0,0.0288,0.2768,0.1712,0.0048,2.38464,14.448
177,0.5056,0,0,0.0272,0.2144,0.2496,0.0032,2.32576,14.832
178,0.176,0,0,0.4288,0.1136,0.2816,0,0.8096,24.72
179,0.512307692,0,0,0.075384615,0.303076923,0.095384615,0.013846154,2.356615385,14.63076923
180,0.5712,0,0,0.0496,0.2656,0.1136,0,2.62752,12.864
181,0.0848,0,0,0.4144,0.2544,0.2464,0,0.39008,27.456
182,0.0608,0,0,0.4976,0.2064,0.232,0.0032,0.27968,28.176
183,0.3712,0,0,0.0864,0.2368,0.2976,0.008,1.70752,18.864
184,0.470769231,0,0,0.018461538,0.26,0.250769231,0,2.165538462,15.87692308
185,0.2272,0,0,0.3728,0.1504,0.2496,0,1.04512,23.184
186,0.4128,0,0,0.1424,0.1664,0.272,0.0064,1.89888,17.616
187,0.3984,0,0,0.1008,0.3776,0.1088,0.0144,1.83264,18.048
188,0.3856,0,0,0.0752,0.3232,0.208,0.008,1.77376,18.432
189,0.363076923,0,0,0.007692308,0.353846154,0.247692308,0.027692308,1.670153846,19.10769231
190,0.3088,0,0,0.0272,0.3152,0.3008,0.048,1.42048,20.736
191,0.64,0,0,0.0304,0.224,0.1024,0.0032,2.944,10.8
192,0.2352,0,0,0.3216,0.3056,0.1328,0.0048,1.08192,22.944
193,0.203076923,0,0,0.432307692,0.189230769,0.173846154,0.001538462,0.934153846,23.90769231
194,0.4672,0,0,0.0896,0.2608,0.1664,0.016,2.14912,15.984
195,0.2096,0,0,0.12,0.1168,0.5536,0,0.96416,23.712
196,0.0272,0,0,0.1808,0.0048,0.7872,0,0.12512,29.184
